0	2	8
0	5	2
0	21	7
0	31	1
0	38	6
0	53	8
0	67	2
0	68	3
1	0	2
1	12	3
1	13	5
1	20	10
1	24	8
1	25	4
1	37	7
1	39	5
1	45	9
1	68	7
2	6	8
2	31	3
2	43	4
2	46	1
2	53	7
2	55	4
2	60	2
2	67	7
3	0	4
3	1	1
3	20	7
3	33	1
3	49	5
3	52	1
3	88	2
4	11	7
4	13	9
4	33	1
4	37	2
4	43	7
4	47	5
4	79	3
4	87	4
4	89	5
4	93	8
5	8	6
5	22	7
5	33	9
5	43	9
5	48	7
5	49	3
5	72	9
5	84	6
5	87	3
5	88	2
5	92	2
6	10	5
6	15	7
6	17	4
6	45	4
6	74	5
6	75	7
6	83	5
6	88	8
7	19	3
7	23	3
7	24	3
7	42	8
7	46	1
7	57	7
7	61	9
7	62	2
7	69	4
7	86	8
7	95	4
8	19	7
8	21	2
8	43	10
8	49	2
8	60	8
8	61	2
8	69	10
8	70	3
8	72	4
8	75	4
8	86	8
8	87	5
8	88	5
8	91	1
9	0	10
9	5	9
9	16	8
9	24	3
9	37	7
9	60	2
9	72	1
9	76	3
9	83	6
9	94	10
10	9	8
10	36	3
10	40	4
10	48	2
10	59	6
10	91	3
11	4	2
11	5	5
11	6	10
11	9	8
11	10	2
11	13	2
11	22	3
11	24	6
11	28	5
11	32	7
11	42	4
11	59	3
11	74	1
11	88	10
12	0	6
12	11	4
12	35	10
12	55	2
12	60	7
12	61	5
12	76	2
13	16	3
13	53	10
13	78	8
14	1	4
14	10	2
14	16	6
14	23	6
14	37	6
14	41	9
14	45	6
14	52	8
14	57	3
14	72	7
14	77	5
14	87	5
14	94	2
14	99	10
15	1	4
15	10	8
15	12	9
15	30	8
15	40	5
15	43	2
15	48	4
15	90	1
15	98	10
16	1	9
16	6	2
16	11	10
16	14	5
16	15	8
16	44	2
16	64	1
16	66	3
16	71	8
16	78	5
16	94	9
16	95	3
16	99	9
17	5	1
17	22	10
17	35	2
17	38	7
17	47	7
17	53	9
17	66	8
17	74	10
18	31	6
18	34	5
18	38	10
18	51	1
18	62	9
18	65	2
18	74	6
18	80	8
18	81	4
18	91	5
19	0	4
19	12	6
19	33	9
19	34	9
19	37	7
19	40	9
19	58	9
19	61	6
19	67	7
19	70	10
19	71	7
19	79	3
19	88	9
20	14	4
20	28	7
20	34	2
20	60	5
20	67	9
20	72	9
20	74	5
20	78	8
20	84	8
20	90	7
20	91	4
20	93	5
21	8	3
21	25	6
21	40	10
21	44	8
21	48	8
21	54	5
21	58	1
21	69	5
21	77	9
21	97	6
22	1	7
22	11	9
22	27	1
22	32	3
22	48	6
22	54	7
22	63	1
22	74	6
22	92	8
23	6	5
23	8	9
23	16	10
23	28	10
23	34	1
23	71	7
23	80	4
24	27	8
24	42	2
24	46	3
24	58	8
24	61	6
24	76	3
24	78	6
24	88	8
25	0	7
25	13	9
25	31	6
25	48	2
25	50	4
25	57	5
25	74	6
